host=cloudflare.com pairs=25 A=X25519MLKEM768 B=X25519 network=cellular started=2026-07-23T13:40:22Z
pair,group,wallclock_ms,read_bytes,written_bytes,negotiated
1,X25519MLKEM768,187,3957,1503,X25519MLKEM768
1,X25519,162,2870,325,NA
2,X25519MLKEM768,186,3956,1503,X25519MLKEM768
2,X25519,150,2870,325,NA
3,X25519MLKEM768,175,3956,1503,X25519MLKEM768
3,X25519,161,2868,325,NA
4,X25519MLKEM768,163,3957,1503,X25519MLKEM768
4,X25519,172,2869,325,NA
5,X25519MLKEM768,144,3958,1503,X25519MLKEM768
5,X25519,155,2869,325,NA
6,X25519MLKEM768,182,3958,1503,X25519MLKEM768
6,X25519,178,2869,325,NA
7,X25519MLKEM768,162,3957,1503,X25519MLKEM768
7,X25519,177,2870,325,NA
8,X25519MLKEM768,158,3957,1503,X25519MLKEM768
8,X25519,142,2869,325,NA
9,X25519MLKEM768,151,3956,1503,X25519MLKEM768
9,X25519,163,2870,325,NA
10,X25519MLKEM768,138,3958,1503,X25519MLKEM768
10,X25519,150,2868,325,NA
11,X25519MLKEM768,158,3957,1503,X25519MLKEM768
11,X25519,163,2869,325,NA
12,X25519MLKEM768,170,3956,1503,X25519MLKEM768
12,X25519,144,2869,325,NA
13,X25519MLKEM768,190,3956,1503,X25519MLKEM768
13,X25519,181,2870,325,NA
14,X25519MLKEM768,197,3958,1503,X25519MLKEM768
14,X25519,179,2869,325,NA
15,X25519MLKEM768,546,3957,1503,X25519MLKEM768
15,X25519,156,2869,325,NA
16,X25519MLKEM768,165,3956,1503,X25519MLKEM768
16,X25519,169,2869,325,NA
17,X25519MLKEM768,131,3958,1503,X25519MLKEM768
17,X25519,181,2869,325,NA
18,X25519MLKEM768,143,3957,1503,X25519MLKEM768
18,X25519,197,2869,325,NA
19,X25519MLKEM768,204,3958,1503,X25519MLKEM768
19,X25519,180,2869,325,NA
20,X25519MLKEM768,159,3956,1503,X25519MLKEM768
20,X25519,188,2869,325,NA
21,X25519MLKEM768,182,3958,1503,X25519MLKEM768
21,X25519,195,2869,325,NA
22,X25519MLKEM768,212,3957,1503,X25519MLKEM768
22,X25519,181,2868,325,NA
23,X25519MLKEM768,203,3958,1503,X25519MLKEM768
23,X25519,157,2869,325,NA
24,X25519MLKEM768,172,3958,1503,X25519MLKEM768
24,X25519,142,2869,325,NA
25,X25519MLKEM768,236,3957,1503,X25519MLKEM768
25,X25519,209,2869,325,NA
